Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/CsY8ITOADzj/,Guests of Cruise 2024 captured arriving at Gyeongbokgung Palace in Seoul. #ElizabethOlsen #Hanni #Pokimane #FumiyaTakahashi #Ryujin #SoyoungKo #JunhwanCha #SeojinLee #EunseKi #BIBI #SaoirseRonan #SieunKim #LeeSeo #KyohwanKoo #HeeaeKim #GucciCruise24,reel,2023-05-18 11:41 AM,242403,1.72,0.46367,805,0.23,241598,1.73,,6930826,7623909,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Ct1ClvxsA_3/,A mirror-filled room within the Gucci Visions exhibition showcases how the House’s three iconic handbags – Bamboo 1947 Horsebit 1955 and Jackie 1961 – have been reinterpreted through the contemporary lens of various Creative Directors. Discover more at link in bio. Located at Gucci Garden Piazza della Signoria 10 50122 Florence Italy #GucciVisions,CAROUSEL_ALBUM,2023-06-23 06:00 AM,241823,1.72,0.46256,868,0.32,240955,1.73,,4081670,4489837,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CzENWqAiNE2/,Towards the future. A new campaign starring Billie Eilish showcases the House’s first handbag crafted in Demetra Gucci’s innovative animal-free material made in-house with 75% plant-derived raw material sources. #BillieEilish #GucciHorsebit1955,CAROUSEL_ALBUM,2023-10-31 10:00 AM,239658,1.69,0.45753,340,-0.47,239318,1.71,,1756949,1932644,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/C2-lxnXsJXL/,Celebrating music.To the 66th Annual GRAMMY Awards nominee for Best R&B Song Halle Bailey wore a custom Gucci crystal-embellished gown designed by Sabato De Sarno. Attending with her wife Vic Lentaigne and featured in a special video captured moments before the award ceremony nominee for Best Dance/Electronic Recording Romy Madley Croft—who featured in the soundtrack of the Gucci Ancora fashion shows—wore a custom all-over crystal-embroidered GG Rosso Ancora suit.#GRAMMYs,CAROUSEL_ALBUM,2024-02-05 02:43 PM,236310,1.65,0.45101,638,-0.02,235672,1.67,,6218564,6840421,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Cyu_SSasUAt/,Mastering an icon.Global Brand Ambassador Xiao Zhan wears the heritage-infused Horsebit loafer a Gucci icon since 1953.#GucciHorsebit1953 #XiaoZhan,IMAGE,2023-10-23 04:13 AM,227027,1.55,0.43342,7227,10.05,219800,1.49,,2065987,2272586,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Cxi41s0IwO-/,A story of spontaneity of a party at the first light of day.#GucciAncora #GucciSS24,CAROUSEL_ALBUM,2023-09-23 02:54 PM,225033,1.53,0.42961,992,0.51,224041,1.53,,10949958,12044954,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/C3HwG5mshfa/,All that Vogue. A curated selection of the latest Vogue covers around the world showcasing the Spring Summer 2024 collection by Sabato De Sarno. #GucciSS24 #JuliaRoberts #NicoleKidman,CAROUSEL_ALBUM,2024-02-09 04:07 AM,221524,1.49,0.42279,379,-0.42,221145,1.5,,5181817,5699999,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/CrAlnZpAV3r/,In anticipation of Gucci Cosmos an itinerant exhibition of the House’s most iconic designs debuting in Shanghai on April 28 Global Brand Ambassador Xiao Zhan travels to where the story began in 1921—Florence. He journeys through the Gucci Archive alongside exhibition curator Maria Luisa Frisa and Gucci ArtLab to observe the visionary creativity and innovative spirit that has defined the House for 102 years inspiring a reflection on past and present that goes ‘Beyond Heritage.’ Discover more at the link in bio.Directed by Zhu Zi #XiaoZhan #GucciCosmos #ZhuZi,reel,2023-04-14 04:21 AM,220736,1.48,0.42223,10662,15.31,210074,1.38,,8443139,9287453,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CwqbHD7sf67/,Fall Winter 2023 featuring Vittoria CerettiDiscover the campaign at the link in bio#GucciFW23,CAROUSEL_ALBUM,2023-09-01 04:37 PM,219973,1.47,0.42033,1328,1.03,218645,1.47,,10531149,11584264,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CrOa-8bsm3V/,Crafted by nature then by the House’s artisans over a flame each handle atop the House’s signature Bamboo 1947 bag is a one-of-a-kind emblem. Discover more at the link in bio. #GucciBamboo1947,CAROUSEL_ALBUM,2023-04-19 01:00 PM,210218,1.36,0.40211,479,-0.26,209739,1.37,,4194426,4613869,
