Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CtrSDrHLsVc/,Levelling up the lash game 🤩 Revolution Lash curler & comb set [115113666] As Seen On tias.mua 🎤 Your Hands on Me - NIGHTCAP FEAT. VICKI VOX,reel,2023-06-19 11:03 AM,15265,4.51,0.10405,176,1.8,15089,4.06,,27350,30085,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CyYpne0MFPO/,pov: you’re just like epobertemes[she/her] 🤭🫶👟adidas Originals Samba [132176679],reel,2023-10-14 12:00 PM,13788,3.98,0.09311,95,0.51,13693,3.59,,28523,31375,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/C0_soUyMDrL/,Weve reached a whole new level of festive with bigheadjustice [she/her] 🎄🎁Easilocks ASOS Exclusive Colour Changing Hair Wax - Green [ 128845959]Easilocks ASOS Exclusive Colour Changing Hair Wax - Pink [128845958],reel,2023-12-18 08:00 AM,13747,3.96,0.09283,143,1.27,13604,3.56,,276910,304601,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CyGu5dksklO/,Monochrome mood 👟🖤 by.manuelaa [she/her]adidas Originals Campus 00s [123114800],reel,2023-10-07 01:00 PM,13435,3.85,0.09072,81,0.28,13354,3.48,,27574,30332,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CwFMhHUsEFD/,Sunkissed skin? Yes please ✨We love a blush moment and so does sophiiaraee [she/her] Pixi On-The-Glow Blush Cream Blush [500530997],reel,2023-08-18 05:38 AM,13395,3.84,0.09045,94,0.49,13301,3.46,,25120,27632,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/Cr8gRQ2ARCh/,The precision 😮‍💨 Charlotte Tilbiry Contour Wand [1955319] As Seen On lenkalul,reel,2023-05-07 10:32 AM,12718,3.59,0.08588,55,-0.12,12663,3.25,,29286,32215,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CzQp2RZNG0O/,We’re fall-ing in love with this lip shade combo from tias.mua [she/her] 🫦🍂Maybelline SuperStay Vinyl Ink Long Lasting Liquid Lipstick -Fearless [500506110]NYX Professional Makeup Fat Oil Lip Drip Lip Gloss - Status Update [500561141],reel,2023-11-05 05:00 AM,12500,3.51,0.08441,108,0.71,12392,3.15,,18728,20600,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CxQOs9Zs9Sr/,Its the cherry cola effect 🍒🥤 as seen on tias.mua (she/her)💋 Morphe Color Pencil - Sweet Tea [1962474]💋 Charlotte Tilbury Flawless Lip Blur - Flame [500575541]💋 NYX Professional Makeup Fat Oil Lip Drip Lip Gloss - Newsfeed [500561138],reel,2023-09-16 09:00 AM,12368,3.47,0.08352,33,-0.47,12335,3.13,,27896,30686,
asos,https://www.instagram.com/asos,https://www.instagram.com/p/CrlRgSpgt9R/,T-3 days until the Met Gala 2023! We cant wait to see what the attendees bring to this years theme in honour of Karl Lagerfeld. Which past look is your fave 1-10? We cant pick 🥹,CAROUSEL_ALBUM,2023-04-28 10:00 AM,12300,3.44,0.08306,60,-0.04,12240,3.1,,28618,31480,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CxTV1QJv1Kk/,A trick of the tail breakfastatbetsys [she/her] shows us how to get that iconic voluminous pony 🤍 🫶🏼,reel,2023-09-17 02:00 PM,12070,3.36,0.0815,33,-0.47,12037,3.03,,27765,30541,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CxNQul3sXlc/,Our sneaker uniform.. IYKYK 🤭👟 ngawaiataranginui [she/her] sure does 😏😉Search ‘adidas Originals’ on ASOS,reel,2023-09-15 05:20 AM,11739,3.24,0.07927,81,0.28,11658,2.91,,31461,34607,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/C1MyVYJs9mO/,Tis the season to sparkle and shine with __bexbeauty__ [she/her] 🌟✨🎄,reel,2023-12-23 10:00 AM,11623,3.2,0.07849,58,-0.07,11565,2.88,,249653,274619,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CuEewFMt-lA/,Twist your way to perfect soft curls with minniefr 😍 ghdhair hot brush now 15% off [1765340] ✨,reel,2023-06-29 06:03 AM,11536,3.16,0.07799,109,0.73,11427,2.83,,21558,23714,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CwubxIyNdLY/,luxebykate [she/her] is keeping it balanced this weekend with this fit 🤍New Balance 610 [121833986],reel,2023-09-03 06:00 AM,11476,3.14,0.07749,73,0.16,11403,2.82,,30706,33777,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CqV7zuqg9zp/,5 events now needed to wear each of these dresses at pls including the coffee run ✨emilyshak [she/her] As Seen In:ASOS DESIGN drape sleeve satin dress [126113843]ASOS DESIGN orange bandeau dress [124200711]ASOS DESIGN cut out detail dress [19355321]ASOS DESIGN floral print dress [128839590]Topshop riveria dress [118798409],reel,2023-03-29 04:00 AM,11112,3.01,0.07504,112,0.78,11000,2.69,,21709,23880,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/Cy8l0gislAC/,Welcome to our lair 🕸️ where abe.nailbabe [he/him] uses REAL spiderwebs for these super fang-cy nails 💅,reel,2023-10-28 11:00 AM,10976,2.96,0.07397,795,11.65,10181,2.41,,66189,72808,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CxQpm2ivC5J/,Repeat after us... summer is NOT over 🧡coco_floflo [she/her] As Seen In:Topshop ruffle sleeve maxi dress [128233650]Topshop knitted open stitch shirt [125715923],reel,2023-09-16 12:55 PM,10832,2.91,0.07315,60,-0.04,10772,2.61,,29125,32037,
asos,https://www.instagram.com/asos,https://www.instagram.com/p/C3hqMoxMox-/,Note taken: it’s all about monochrome + RED ♥️,CAROUSEL_ALBUM,2024-02-19 05:35 AM,10514,2.8,0.071,35,-0.44,10479,2.51,,226790,249470,
asos,https://www.instagram.com/asos,https://www.instagram.com/p/CrQLNNNAvYB/,Entering your Taurus Era ♉️ 💚Comment your best dressed 🐂👇,CAROUSEL_ALBUM,2023-04-20 05:21 AM,10167,2.67,0.06865,35,-0.44,10132,2.4,,23753,26129,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CwPUf2Xt8mK/,Who needs flowers when these babies last waaaay longer than a fresh bunch of blooms 🌹💋❤️ASOS DESIGN Sia corsage slingback heels [131489168],reel,2023-08-22 04:00 AM,10150,2.66,0.06854,63,0,10087,2.38,,21929,24122,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/C1Ot7d0s59t/,Eat drink nap serve sneaks 👟💚✨adidas Originals Gazelle [132610009],reel,2023-12-24 04:00 AM,10032,2.62,0.06774,51,-0.18,9981,2.34,,230625,253688,
asos,https://www.instagram.com/asos,https://www.instagram.com/p/CxI5DtHtgd2/,These red carpet looks deserve a 🏆!!which was your fave? 👇,CAROUSEL_ALBUM,2023-09-13 12:36 PM,9028,2.26,0.06096,65,0.03,8963,2,,29370,32307,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/Cv2ABVRMhHy/,kinis are the basics you didn’t know you had 👙 _olhirst_ levels up summer styling and these fits are reading so right ✅Outfit 1 - Reclaimed Vintage triangle bikini top [127033605] & bottoms [127033606] in retro print ASOS DESIGN mid length cord necklace with eye pendant [130473744]ASOS DESIGN pleated wide leg jean [129498723]Outfit 2 -ASOS DESIGN cropped linen shirt [128999587]ASOS DESIGN frill tie side bikini top [125928745] & bottoms [125928750] in mono ginghamASOS DESIGN prairie lace midi skirt [132409300]ASOS DESIGN Fearless double strap footbed flat sandals [122975074]Outfit 3 - ASOS DESIGN micro tanga bikini top [128868827] & bottoms [128868835]Reclaimed Vintage unisex fishnet tank in khaki [130769248]ASOS DESIGN boyfriend short [131154805],reel,2023-08-12 08:00 AM,8785,2.17,0.05932,63,0,8722,1.92,,20978,23075,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/Cu_muVPNSe9/,Take your nail game up a notch with this 10/10 pink ombre mani 💅 Crushing hard on these leminimacaron shades 💗Le Mini Macaron Gel Polish Pink Orchid [500370710]Le Mini Macaron Gel Polish - Bubblegum Crush [500003141]Le Mini Macaron Gel Polish - Chantilly [500519287],reel,2023-07-22 05:00 AM,8575,2.09,0.05798,98,0.56,8477,1.84,,30251,33276,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CxP6G6IMIom/,BTS of our sheer style shoot 📸 When the candids look this good you KNOW youre onto a winner 😏,reel,2023-09-16 06:00 AM,7992,1.88,0.05397,45,-0.28,7947,1.66,,27652,30417,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CyalJ_TtKMx/,Pumpkin spice SZN is here with bigheadjustice [she/her] 🎃🧡,reel,2023-10-15 06:00 AM,7990,1.88,0.05395,80,0.27,7910,1.65,,25011,27512,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/C1CDsJzMDLU/,Brb saving this hair to our wishlist 💌🎄 bornwithstyle [she/her],reel,2023-12-19 06:00 AM,7843,1.83,0.05296,70,0.11,7773,1.6,,211854,233040,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/Cul6NVFoiU-/,Metallic kinis 🤝 swimming good 🩵ASOS DESIGN metallic bikini [127474473/ 127474489] As Seen On julia.berit [she/her],reel,2023-07-12 05:30 AM,7756,1.8,0.05237,163,1.59,7593,1.54,,31789,34968,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CuUQrAfMiQI/,Living the life well balanced ⚖️👟ASOS Exclusive New Balance 725 trainers in oatmeal [ 118795255] As Seen On joanneixer [she/her],reel,2023-07-05 09:00 AM,7711,1.78,0.05207,49,-0.21,7662,1.57,,26980,29678,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/Cy6YBejsMEv/,Nike Air Force 1 + custombysara [she/her] = a version of her own in our wildest dreams 🕊️🩵 Nike Air Force 1 07 [106903535],reel,2023-10-27 02:28 PM,7649,1.76,0.05165,113,0.79,7536,1.52,,26412,29054,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CzT-7yVN1Y3/,When gift shopping is a total vibe... 🎀🔎 Search gifts,reel,2023-11-06 12:02 PM,7476,1.7,0.05048,38,-0.39,7438,1.49,,13534,14888,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CqGbia2s3eF/,The perfect 🎀ASOS LUXE dress [coming soon],reel,2023-03-22 02:00 PM,7392,1.67,0.04992,127,1.02,7265,1.43,,20438,22482,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CxyIhSHMPyu/,We’re heading back to the 9060’s with 572_jv [she/her] 👟😉🔎 Search ‘New Balance 9060’ on ASOS,reel,2023-09-29 01:00 PM,7374,1.66,0.04979,28,-0.55,7346,1.46,,22775,25053,
asos,https://www.instagram.com/asos,https://www.instagram.com/p/CqV4ZvKAGBR/,Hold the applause and just dance for the QUEEN of the red carpet 💜 HBD Gaga 💜,CAROUSEL_ALBUM,2023-03-28 02:00 PM,7333,1.65,0.04952,24,-0.61,7309,1.45,,15870,17456,
asos,https://www.instagram.com/asos,https://www.instagram.com/p/CuZTZrWMa9p/,Swifties are cooking the internet over Taylors Speak Now (Taylors Version) release TO-DAY 🤩 Were throwing it right back to her purple era ‘cause obvi we’re wonderstruck 💜,CAROUSEL_ALBUM,2023-07-07 08:00 AM,7227,1.61,0.0488,20,-0.68,7207,1.41,,21370,23507,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CxaGbFnN6Xp/,This isnt colour block...its colour POP 🍬✨adidas Originals Gazelle Bold [127241250],reel,2023-09-20 05:00 AM,7214,1.6,0.04871,57,-0.09,7157,1.4,,25448,27993,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CvPmr6ZNsRg/,Sure a LBD is a good call. Orrrrrrr ☝️🩷Lace & Beads embellished crop top [131738840] and mini skirt [131738841] co-ord in lilac as seen on bella_oliverx,reel,2023-07-28 10:07 AM,7188,1.59,0.0486,119,0.89,7069,1.37,,29702,32672,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/C1JyEx-sbJF/,Winter vibes and snowman smiles with sydneypurl [she/her] ☃️🎄,reel,2023-12-22 06:00 AM,7047,1.54,0.04759,38,-0.39,7009,1.35,,186008,204609,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CwpN-fitHa_/,Heading into September with a fresh set 💅❤️ rosenambasa [she/her]MYGEL by Mylee Gel Polish - Red Flags [500528121],reel,2023-09-01 05:23 AM,6999,1.52,0.04726,42,-0.33,6957,1.33,,25528,28081,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/Cr1OwBrgNuB/,Long weekend loading 🌞Which destination are you dreaming of? ✈️ames.ro [she/her] As Seen In:ASOS DESIGN oversized shirt in chocolate [1258364511]ASOS DESIGN pull on short in chocolate [1258364551]4th & Reckless rio wrap beach co-rd in ombre [124248570]4th & Reckless rio wrap skirt co-ord in orange ombre [124248571],reel,2023-05-04 02:44 PM,6939,1.5,0.04686,77,0.22,6862,1.3,,24785,27264,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/Cxvc2KhM6MQ/,She was a fairy 🧚‍♀️💅 leminimacaron As Seen On nenapleasenails [she/her]Le Mini Macaron Manicure Kit - Fairy Floss [500072498],reel,2023-09-28 12:00 PM,6871,1.48,0.0464,77,0.22,6794,1.28,,26920,29612,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CvrRXh6szwv/,Two words: Kylies cominggggg 🤪,reel,2023-08-08 04:00 AM,6840,1.47,0.04619,72,0.14,6768,1.27,,19551,21506,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CzlJVzmv6K3/,Its official... The Black Friday warm-up has landed! Keep it locked for BIG daily deals all week starting with 20% OFF ALL DRESSES 👗🏃‍♀️💨As Seen On TheTallySharp (She/Her),reel,2023-11-13 04:00 AM,6784,1.45,0.04581,139,1.21,6645,1.23,,15825,17407,
asos,https://www.instagram.com/asos,https://www.instagram.com/p/Cz1nWALRcOA/,The dress of the SZN As Seen On frankiegascoine [she/her] 🖤 🔎 shop the edit on ASOS #ASOSYourWay,CAROUSEL_ALBUM,2023-11-19 01:30 PM,6774,1.44,0.04574,38,-0.39,6736,1.26,,13681,15049,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/Cq51dYuA7MX/,Unveil your something new and say ‘I do’ to our ASOS X Bobbi Brown Exclusive Bridal Box👰‍♀️📦 ASOS X Bobbi Brown Exclusive Bridal Box - 58% Saving ✨🔍  [128994622] ✨Bobbi Brown Smokey Eye Mascara 6ml✨Bobbi Brown Crushed Oil Infused Gloss In The Buff 6ml✨Bobbi Brown Long-Wear Cream Shadow Stick in Golden Pink 0.9g✨Bobbi Brown Vitamin Enriched Face Base 15ml✨Bobbi Brown Makeup Bag,reel,2023-04-11 01:09 PM,6769,1.44,0.04571,109,0.73,6660,1.23,,24841,27325,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/C2zrQ5dsCeG/,pearl_mariaf [she/her] has been dancing her winter away🔎Shop Activewear on ASOS,reel,2024-02-01 09:00 AM,6650,1.4,0.04491,353,4.62,6297,1.11,,321550,353705,
