INDUSTRY,PLATFORM,PROFILE,FOLLOWERS,FOLLOWERS EVOLUTION,ENGAGEMENT,POSTS,AVERAGE ENG/ POST,AVERAGE ENG RATE/ POST,ENGAGEMENT RATE/ PROFILE,REACH,VIEWS
Fashion,Tik Tok,Levi’s,"1,274,990","2,902 0.23%",212453,17,12.5K /post,0.98%,16.66%,,
Fashion,Facebook,Levis,"25,462,262","-8,085 -0.03%",240,1,240 /post,0.00%,0.00%,"1,216",
Tech,Facebook,netflix,"91,374,970","274,545 0.3%",0,0,0 /post,0%,0%,0,
Tech,TikTok,Netflix,"37,447,117","449,796 1.22%",19125149,227,84.3K /post,0.23%,51.07%,,
Tech,Instagram,Netflix,"33,095,657",564 0%,19966723,140,142.6K /post,0.43%,60.33%,"51,227,102",
Tech,YouTube,Netflix,"27,800,000","100,000 0.36%",1200547,99,12.1K /post,0.04%,4.32%,,51.86M
Tech,LinkedIn,Netflix,"10,214,570","57,025 0.56%",3842,2,1921 /post,0.02%,0.04%,,
Fashion,Intstagram,Nike,"306,987,612","211,739 0.07%",3583721,12,298.6K /post,0.10%,1.17%,"17,063,948",
Fashion,Facebook,nike,"37,154,831","19,014 0.05%",0,0,0 /post,0.00%,0.00%,0,
Fashion,Twitter,Nike,"10,049,679","57,462 0.58%",3683,2,1842 /post,0%,0%,,
Fashion,Tik Tok,Nike,"5,962,219","95,506 1.63%",536025,14,38.3K /post,0.64%,8.99%,,
Fashion,Youtube,Nike,"1,840,000",0 0%,0,0,0 /post,0.00%,0.00%,,0
Travel,Instagram,Palisociety,"52,761",0 0%,4380,18,243.3 /post,0.46%,8.30%,"52,449",
Travel,TikTok,palisociety,467,0 0%,258,7,36.9 /post,7.89%,55.25%,,
Travel,Twitter,Palisociety,64,0 0%,0,0,0 /post,0%,,,
Tech,Twitter,Pathwright,"1,071",0 0%,3,2,1.5 /post,0.14%,0.28%,,
Tech,Facebook,Pathwright,727,0 0%,0,0,0 /post,0%,0%,0,
Tech,Instagram,Pathwright,392,0 0%,0,0,0 /post,0%,0%,0,
Tech,YouTube,Pathwright,93,0 0%,0,0,0 /post,0%,0%,,0
Fashion,Instagram,Primark,"10,683,840","17,698 0.17%",993003,90,11.0K /post,0.10%,9.29%,"2,645,294",
Fashion,Facebook,Primark,"6,840,318",0 0%,38082,23,1656 /post,0.02%,0.56%,"93,760",
Fashion,Tik Tok,Primark,"1,449,132","4,927 0.34%",811024,41,19.8K /post,1.37%,55.97%,,
Fashion,Twiiter,Primark,"264,970",0 0%,0,0,0 /post,0%,0%,,
Fashion,Youtube,Primark,"45,300",0 0%,63,9,7 /post,0.02%,0.14%,,3175
Tech,YouTube,Smartsheet,"42,600",0 0%,51,12,4.3 /post,0.01%,0.12%,,14.49K
Tech,Facebook,smartsheet,"32,048",0 0%,179,20,8.9 /post,0.03%,0.56%,736,
Tech,Twitter,Smartsheet,"27,414",0 0%,58,26,2.2 /post,0.01%,0.21%,,
Tech,TikTok,Smartsheet,"3,710",0 0%,1,1,1 /post,0.03%,0.03%,,
Tech,Facebook,Spotify,"23,293,459","-20,339 -0.09%",0,0,0 /post,0%,0%,0,
Tech,Twitter,Spotify,"14,493,665","441,316 3.14%",225326,88,2561 /post,0.02%,1.56%,,
Tech,Instagram,Spotify,"11,145,398","92,779 0.84%",4988093,82,60.8K /post,0.55%,44.76%,"14,421,790",
Tech,TikTok,Spotify,"2,647,008","67,529 2.62%",334727,35,9564 /post,0.36%,12.65%,,
