Profile,Platform,Profile Link,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/C5u_sbUocA7/,Started in sports made their way into culture. Samba. #adidasSamba,reel,2024-04-14 04:00 AM,45119,-0.08,0.13076,224,-0.65,44895,-0.07,,432963,476259
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/C48Jh7DrLiw/,Discover the fearofgodathletics 2023-2024 Opening Season spring collection. Shop the offering Wednesday April 3 on CONFIRMED App fearofgod.com and in select adidas stores globally.,CAROUSEL_ALBUM,2024-03-25 10:01 AM,44071,-0.1,0.12772,259,-0.59,43812,-0.1,,426218,468839
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CxH9-USIRfH/,Fresh perspectives on #adidasSamba. #WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-13 04:00 AM,43210,-0.12,0.12555,1507,1.34,41703,-0.14,,2346747,2581422
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CxzvfLWoYk2/,Jam. Funk. Original.  jamiroquaihq x adidasOriginals x adidasLondon#1000Originals #adidasOriginals,IMAGE,2023-09-30 04:00 AM,41513,-0.16,0.12061,403,-0.37,41110,-0.15,,1377635,1515399
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cr8ptj-ImPn/,A collaborative video experience by adidasOriginals x colorsxstudios. 🎵​Episode 2: An atmospheric performance by Palestinian-Serbian-Algerian-French artist saintlevant​Discover his exclusive medley of ‘Tell Me I’m Dreaming’ and ‘From Gaza With Love’ two tracks from his latest EP and keep an eye out for his upcoming interview. Link in bio. ​#ClubOriginals,reel,2023-05-07 12:00 PM,40014,-0.19,0.11632,483,-0.24,39531,-0.18,,357541,393295
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/C5Gcm83LacX/,Discover the fearofgodathletics 2023-2024 Opening Season spring collection. Shop the offering Wednesday April 3 on CONFIRMED App fearofgod.com and in select adidas stores globally.,CAROUSEL_ALBUM,2024-03-29 10:00 AM,39620,-0.19,0.11482,206,-0.67,39414,-0.19,,370204,407224
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/C2ZZDfnIZKJ/,Stepping into the 2000s! From one era to the next let’s make our mark just like the legends before us laced up in the reissued OG 2000’s runners.Available on adidas.com and at select stores.,CAROUSEL_ALBUM,2024-01-22 04:00 AM,39564,-0.19,0.11466,235,-0.63,39329,-0.19,,235564,259120
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/C4-77hEoiai/,Styled a thousand ways. ➡️ Gazelle. Samba. Spezial. Available on adidas.com and at select stores.#adidasGazelle #adidasSamba #adidasSpezial,CAROUSEL_ALBUM,2024-03-26 12:00 PM,39074,-0.2,0.11324,115,-0.82,38959,-0.2,,322512,354763
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CvpaQnbLTBc/,being trusted with another brand’s DNA… to build on a tried-and-tested formula… to pen a chapter or even a paragraph in a book like this… it’s a great responsibility. And with great responsibility comes great excitement!The new Blondey Pro Model in collaboration with blondey bridges an avant-garde vision and a classic Superstar silhouette — Available now on CONFIRMED and adidas.com,CAROUSEL_ALBUM,2023-08-07 10:39 AM,39019,-0.21,0.11342,141,-0.78,38878,-0.2,,328552,361407
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cr6GRKirm-D/,humanrace Samba Colors by pharrell   The elevated iteration of our Iconic Samba silhouette is a celebration of craftsmanship high-quality materials and colorways that embody the diversity of Humanrace’s DNA.   Made with all-around premium leather upper leather lining and leather shoelaces from ECCO Leather. The raw materials are transformed into the adidas Samba Leather through eccoleather’s water-saving tanning technology which saves 20 liters of water per hide resulting in higher color fastness and better performance. The extended tongue is a nod to the Samba’s rich football heritage.  Now available on humanrace.com and CONFIRMED – hit the link in bio to shop. #adidasPharrellWilliams,CAROUSEL_ALBUM,2023-05-06 12:06 PM,38995,-0.21,0.11335,470,-0.26,38525,-0.21,,362273,398501
