Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/reel/C0z2dK2Mlxj/,PLT Girl Squad reunion 💖🥺#plt #girlsquad,reel,2023-12-13 05:37 PM,178196,9.2,0.99134,490,-0.85,177706,11.26,,229006,251906,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C38hr5DMFSV/,LAST CHANCE TO ENTER... 💸🏝️💖WIN your DREAM holiday to ANY DESTINATION for you and a plus one ✈️ PLUS a Limited Edition Leopard Print JACQUEMUS Bag AND £1000 CASH straight into your bank account 🤑✨☁️ MUST FOLLOW prettylittlething☁️ COMMENT ‘💖’ on this post (more comments = more entries)☁️ TAG a bestie in the commentsShare to stories for your besties to see 🤝 T&C’s can be found www.prettylittlething.com 👏 Competition ends 11:59pm 05.03.24 ⏰,CAROUSEL_ALBUM,2024-02-29 04:00 PM,173988,8.96,0.96793,144397,41.88,29591,1.04,,506129,556742,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C03udNaIuWT/,✨ IT’S OFFICIAL ✨ The Selena Gomez and Benny Blanco hard launch has us obsessed 😱💓👀,IMAGE,2023-12-15 05:42 AM,172934,8.9,0.96207,577,-0.82,172357,10.89,,196317,215949,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/reel/CvDXjKyoe8N/,It’s a FOREVER THING 💍 Congrats to our girl mollymae & tommyfury 🥹💕,reel,2023-07-23 04:05 PM,171213,8.8,0.95249,291,-0.91,170922,10.79,,256606,282266,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C1LDOEXovqG/,Baby Rocky Barker 💙 💙The Barkers share the cutest snaps of the newest member to the family ✨😍,CAROUSEL_ALBUM,2023-12-22 05:49 PM,170580,8.77,0.94897,138,-0.95,170442,10.76,,225998,248597,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/Cy3GtLkImve/,👻💕 100% THAT WICH 💕👻 Just a few of our FAVE Halloween ‘fits 👀 Which lewk do you love most?! Comment below 👇 PT.1… keep your eyes peeled for more spooky inspo 🤝,CAROUSEL_ALBUM,2023-10-26 07:52 AM,169085,8.68,0.94065,245,-0.92,168840,10.65,,253531,278884,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/CxKcQq7sm2Z/,FIVE YEARS OF LOVE ❤️🥹 It’s justinbieber & haileybieber’s 5 year anniversary ✨ We can’t cope with them 😭,CAROUSEL_ALBUM,2023-09-14 03:03 AM,165663,8.49,0.92162,769,-0.77,164894,10.37,,262857,289143,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/reel/C0ySZKapn5F/,💝☃️ LAST CHANCE TO ENTER ☃️💝 WIN a brand new Pink iPhone 15 Silver Apple AirPods Max AND £1K CASH !!! 🤑🎧 MUST follow prettylittlething🎧 LIKE this post🎧 COMMENT 🧑‍🎄 below (more comments = more entries)🎧 TAG a bestieShare to your stories to spread the word 😱 Open WORLDWIDE. Competition ends 17.12.23. Winner announced 18.12.23. T&Cs found at prettylittlething.com.,reel,2023-12-13 03:00 AM,160361,8.18,0.89212,131804,38.14,28557,0.97,,512304,563534,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C0kIBFssrjt/,💝☃️ 3 WEEKS TODAY ☃️💝 Spreading the festive spirit a little early… 👀 WIN a brand new Pink iPhone 15 Silver Apple AirPods Max AND £1K CASH !!! 🤑🎧 MUST follow prettylittlething🎧 LIKE this post🎧 COMMENT 🧑‍🎄 below (more comments = more entries)🎧 TAG a bestieShare to your stories to spread the word 😱 Open WORLDWIDE. Competition ends 17.12.23. Winner announced 18.12.23.,IMAGE,2023-12-07 03:00 PM,158161,8.06,0.87713,117814,33.98,40347,1.78,,419492,461441,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C3qLgccsLBg/,OUR BIGGEST GIVEAWAY YET… 💸🏝️💖WIN your DREAM holiday to ANY DESTINATION for you and a plus one ✈️ PLUS a Limited Edition Leopard Print JACQUEMUS Bag AND £1000 CASH straight into your bank account 🤑✨☁️ MUST FOLLOW prettylittlething☁️ COMMENT ‘💖’ on this post (more comments = more entries)☁️ TAG a bestie in the commentsShare to stories for your besties to see 🤝 T&C’s can be found www.prettylittlething.com 👏 Competition ends 11:59pm 05.03.24 ⏰,CAROUSEL_ALBUM,2024-02-22 01:00 PM,151430,7.67,0.84244,121997,35.23,29433,1.03,,434757,478233,
