Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CuMG0Y2tbvy/,All other dresses can go home ?°Ô∏è?ö™ ?ëã @?åEmilyshak offish showing that eveningwear can be worn at any time of day with the right footwear ?ëü ASOS DESIGN satin bandeau dress in [128947007],reel,2023-07-02 5:00,32578,10.77,0.21999,208,2.31,32370,9.86,,56773,62450
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CuuBYbWs2F8/,Struggling to think of ways to serve at the next wedding? sheeeeoo [she/her] is demoing high glam wedding guest ?™û?éâ Save for big day fitspo ?ìùASOS DESIGN satin corset dress [126494899]ASOS DESIGN broderie co-ord [128879763],reel,2023-07-15 9:06,31310,10.31,0.21143,297,3.72,31013,9.4,,61410,67551
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/Cyq_ufkuq6j/,Big devil energy from __bexbeauty__ [she/her] ?òàNYX Shine Loud Long Lasting Lip Shine Lip Gloss - On A Mission [1995549],reel,2023-10-21 15:00,29620,9.7,0.20001,289,3.6,29331,8.84,,55163,60679
asos,https://www.instagram.com/asos,https://www.instagram.com/p/Csjm5q0M4n0/,HBD to Emma Chamberlain ?éÇ red-carpet regular vlogger TIME100 Next rising star entrepreneur podcaster model and one of the best things about the internet.,CAROUSEL_ALBUM,2023-05-22 15:00,27653,8.99,0.18673,71,0.13,27582,8.25,,45933,50526
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CyysuE8Iw4u/,Nothing beats a duo costume on Halloween ?éÉ?´∂ ?îé ?òHalloween Hits??on ASOS,reel,2023-10-24 14:49,26763,8.67,0.18072,92,0.46,26671,7.95,,43694,48064
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/Cw2zWgIt4ku/,1 step 2 step3 step: Bun with nicholeciotti [she/her] ?´∂,reel,2023-09-06 12:00,25759,8.31,0.17394,210,2.34,25549,7.57,,50493,55543
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CvzAgiyMjEi/,Catch a Kylash not feelings ?´∂?îé Kylie Cosmetics @ ASOS,reel,2023-08-11 4:06,25185,8.1,0.17086,137,1.18,25048,7.4,,40110,44121
asos,https://www.instagram.com/asos,https://www.instagram.com/p/C3CyMYCtFFP/,You get to steal the red carpet wardrobe from one of the Dune cast who do you pick?,CAROUSEL_ALBUM,2024-02-07 5:49,24182,7.74,0.16329,62,-0.01,24120,7.09,,350884,385972
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/C0Ba2Doo5B5/,?éâ COMPETITION ?éâ Win a *¬£1000 ASOS gift voucher* for you AND your bestie as a Black Friday treat. Just make sure you?ôre following us asos tag your BFF below and share this post to your stories. And remember head to the website for an EXTRA something-something. Good luck! ?§ûLink in bio Ts&Cs apply.,reel,2023-11-24 3:32,23576,7.52,0.1592,14491,229.75,9085,2.04,,170779,288301
asos,https://www.instagram.com/asos,https://www.instagram.com/p/Cpm9tflgNl7/,Mileys look at the Versace F/W 2023 show LN was a dream and so is her new album ?ÅÔ∏èLet us know your fave song ?ëá?íê,IMAGE,2023-03-10 7:43,23139,7.36,0.15625,80,0.27,23059,6.73,,31389,34528
