Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cxqo0j2NAmR/,Fearless. Authentic. Original.  hoooooyeony x adidasOriginals x adidas  #1000Originals #adidasOriginals,reel,2023-09-26 03:09 PM,125321,1.46,0.36412,535,-0.18,124786,1.48,,3815432,4196975,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CylTyV4rKnM/,We’re thrilled to officially announce our KoRn x adidas Originals collaboration launching October 27. This first collection is inspired by the iconic album Life Is Peachy celebrating the way KoRn has blurred the lines between music culture and fashion.,reel,2023-10-19 10:00 AM,122453,1.41,0.35578,1810,1.75,120643,1.4,,613828,675210,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CvFSjBAgVBj/,Experience the badbunnypr Campus Chalky Brown through the lens of photographer arab_lincoln. Releasing digitally on July 29th. Available for sign-up on the Confirmed app now.,reel,2023-07-24 10:01 AM,105507,1.07,0.3067,567,-0.13,104940,1.09,,570296,627326,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/C3ABBTNIF_g/,A first look at the BAPE x adidas Stan Smith. 💚 ​​Link in bio.,reel,2024-02-06 04:02 AM,95741,0.88,0.27817,631,-0.04,95110,0.89,,735308,808839,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CxsjgJnNCRp/,Challenging. Limitless. Original. anitta x adidasOriginals x adidasBrasil#1000Originals #adidasOriginals,reel,2023-09-27 09:00 AM,93404,0.83,0.27138,2201,2.34,91203,0.81,,4155576,4571134,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cu6WRG9NJ3M/,Samba mania. 🔥#adidasSamba,CAROUSEL_ALBUM,2023-07-20 04:00 AM,90073,0.77,0.26183,464,-0.29,89609,0.78,,536900,590590,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CqibrNoomrT/,Reflect on adidas x Gucci from a pliable perspective as we continue to push the boundaries of heritage. Shop the #adidasxGucci collection now on CONFIRMED and online at adidas.com/gucci,CAROUSEL_ALBUM,2023-04-02 11:00 AM,80761,0.58,0.23505,276,-0.58,80485,0.6,,533779,587157,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CyGU47qIMVM/,Dreamer. Grateful. Original.  ranveersingh x adidasOriginals  #1000Originals #adidasOriginals,reel,2023-10-07 09:13 AM,80724,0.58,0.23454,2185,2.32,78539,0.56,,588124,646936,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/C3nSXtBrEM7/,Theres levels to this the CLOT Superstar is here with a reimagined silhouette and an ode to originality. Tap into CONFIRMED to see the full lookbook.,CAROUSEL_ALBUM,2024-02-21 10:03 AM,77476,0.52,0.2251,1988,2.02,75488,0.5,,767136,843850,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cq8gEEHAbGh/,Fit check with wisdm #adidasxGucci,reel,2023-04-12 02:00 PM,76143,0.49,0.22146,373,-0.43,75770,0.51,,681043,749147,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CrB_SBwgm1q/,Hay ideas tan grandes que son capaces de hacer florecer todo un desierto🌵🌺Hablamos con janthonyoliveras Director Creativo de badbunnypr para entender más sobre la inspiración y el proceso creativo detrás de nuestra más reciente colaboración. #adidasxbadbunnyDisponible los dos fines de semana en coachella 🎡,reel,2023-04-14 05:10 PM,75007,0.47,0.21815,522,-0.2,74485,0.48,,666889,733578,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyyMRgmrNqr/,Embrace the Paso Fino. The Bad Bunny Response CL celebrates el vaquero in all of us.Signups open now. Available October 28th on Confirmed App adidas stores and select retail partner stores globally.,CAROUSEL_ALBUM,2023-10-24 10:04 AM,73473,0.44,0.21347,271,-0.58,73202,0.45,,394031,433434,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CyDMPUVN70C/,The Art of Explorative garment transitions with ndjolijean #moncleradidasoriginals​,reel,2023-10-06 04:00 AM,61670,0.21,0.17918,238,-0.63,61432,0.22,,334784,368263,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CzdbIm1IRBa/,Retro feels legendary flair.Dive into nostalgia with the new adidas Originals x sportyandrich drop. Available on CONFIRMED adidas.com and at select stores.,CAROUSEL_ALBUM,2023-11-10 04:01 AM,60860,0.19,0.17683,327,-0.5,60533,0.2,,348124,382936,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CrUjiftrhtW/,Fear of God Athletics. Coming soon.,IMAGE,2023-04-21 10:10 PM,58779,0.15,0.17107,231,-0.64,58548,0.16,,437990,481789,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cy5RTSZrlXH/,Two legends collide!  adidas Originals and KoRn have joined forces to create something epic. Discover the new collection at select online retailers and in stores.,CAROUSEL_ALBUM,2023-10-27 04:03 AM,58287,0.14,0.16935,772,0.17,57515,0.14,,444768,489245,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CxVYSTFIZI1/,A true original that changed the game the moment it stepped off the court. #adidasSuperstar #WeGaveTheWorldAnOriginal,IMAGE,2023-09-18 09:00 AM,55482,0.09,0.1612,168,-0.74,55314,0.1,,1681853,1850038,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cp0LzPloXYZ/,If the adidas Stan Smith were boots... 👢,reel,2023-03-15 12:00 PM,54962,0.08,0.15997,626,-0.04,54336,0.08,,556762,612438,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyYxRODr6l0/,Coming 2024.,CAROUSEL_ALBUM,2023-10-14 01:07 PM,50979,0,0.14812,579,-0.11,50400,0,,462268,508495,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CpftI1YpJb3/,DISCOVER YOUR PARK Shout out to this amazing group for showing us how theyre styling the #PARKTRAIL collection Last chance to shop Park Trail – link in bio. Product availability varies by location. #adidasxIVYPARK bebykaylee authentically.b boybratzdoll whoworewhatmini,CAROUSEL_ALBUM,2023-03-07 12:03 PM,47293,-0.06,0.13765,292,-0.55,47001,-0.06,,452370,497607,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CrtY1ctJ3g2/,pharrell and phriends (and Sambas). somethinginthewater 2023.,CAROUSEL_ALBUM,2023-05-01 01:38 PM,47206,-0.07,0.13722,451,-0.31,46755,-0.06,,414736,456210,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cs0c_LhrWN6/,Its giving 70s and were here for it. 🪩​​adicolor 70s available now on adidas.com/adicolor. Link in bio.,CAROUSEL_ALBUM,2023-05-29 04:00 AM,45725,-0.09,0.13292,402,-0.38,45323,-0.09,,394530,433983,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyToOjYr_mS/,The Blackout.Available now in adidas stores online at adidas.com/ivypark and in select partner stores globally.#IVYPARKNOIR #adidasxIVYPARK,CAROUSEL_ALBUM,2023-10-12 01:12 PM,45122,-0.11,0.1311,653,0,44469,-0.11,,436700,480369,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CrgVr7CL01J/,Introducing humanrace Samba Colors by pharrell.Spanning across a spectrum of colorways this collection was born out of Pharrell’s desire to celebrate the craftsmanship and heritage of the iconic Samba while instilling his appreciation for high-quality materials and color into every detail. The first release features the Red Pink Yellow Orange and Lilac colorways. The Charcoal White and Terracotta colorways to be released at a later date. Pre-launching exclusively for Pharrell’s Virginia Beach community at somethinginthewater and globally May 6th via the CONFIRMED app Humanrace.com Extra Butter New York (LES) and Offspring London.  Head to CONFIRMED to learn more – link in bio. #adidasPharrellWilliams,CAROUSEL_ALBUM,2023-04-26 12:00 PM,44570,-0.12,0.12956,239,-0.63,44331,-0.11,,422535,464788,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CrbNVm0gZEI/,La inspiración detrás de Bad Bunny Campus Wild Moss. El Director de Diseño de adidas rafa_mayorga se sienta con el Director Creativo de badbunnypr janthonyoliveras para hablar sobre el trabajo que se llevó a cabo para dar vida a esta ultima colaboración.  La rifa ya está abierta en CONFIRMED - enlace en bio. #adidasxbadbunny,reel,2023-04-24 12:15 PM,44513,-0.12,0.12939,293,-0.55,44220,-0.11,,428580,471438,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CxH9-USIRfH/,Fresh perspectives on #adidasSamba. #WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-13 04:00 AM,43210,-0.14,0.12555,1507,1.29,41703,-0.16,,2346747,2581422,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CxzvfLWoYk2/,Jam. Funk. Original.  jamiroquaihq x adidasOriginals x adidasLondon#1000Originals #adidasOriginals,IMAGE,2023-09-30 04:00 AM,41513,-0.18,0.12061,403,-0.38,41110,-0.18,,1377635,1515399,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cr8ptj-ImPn/,A collaborative video experience by adidasOriginals x colorsxstudios. 🎵​Episode 2: An atmospheric performance by Palestinian-Serbian-Algerian-French artist saintlevant​Discover his exclusive medley of ‘Tell Me I’m Dreaming’ and ‘From Gaza With Love’ two tracks from his latest EP and keep an eye out for his upcoming interview. Link in bio. ​#ClubOriginals,reel,2023-05-07 12:00 PM,40014,-0.21,0.11632,483,-0.26,39531,-0.21,,357541,393295,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CvpaQnbLTBc/,being trusted with another brand’s DNA… to build on a tried-and-tested formula… to pen a chapter or even a paragraph in a book like this… it’s a great responsibility. And with great responsibility comes great excitement!The new Blondey Pro Model in collaboration with blondey bridges an avant-garde vision and a classic Superstar silhouette — Available now on CONFIRMED and adidas.com,CAROUSEL_ALBUM,2023-08-07 10:39 AM,39019,-0.23,0.11342,141,-0.78,38878,-0.22,,328552,361407,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cr6GRKirm-D/,humanrace Samba Colors by pharrell     The elevated iteration of our Iconic Samba silhouette is a celebration of craftsmanship high-quality materials and colorways that embody the diversity of Humanrace’s DNA.   Made with all-around premium leather upper leather lining and leather shoelaces from ECCO Leather. The raw materials are transformed into the adidas Samba Leather through eccoleather’s water-saving tanning technology which saves 20 liters of water per hide resulting in higher color fastness and better performance. The extended tongue is a nod to the Samba’s rich football heritage.  Now available on humanrace.com and CONFIRMED – hit the link in bio to shop. #adidasPharrellWilliams,CAROUSEL_ALBUM,2023-05-06 12:06 PM,38995,-0.23,0.11335,470,-0.28,38525,-0.23,,362273,398501,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/C2ZZDfnIZKJ/,Stepping into the 2000s! From one era to the next let’s make our mark just like the legends before us laced up in the reissued OG 2000’s runners.Available on adidas.com and at select stores.,CAROUSEL_ALBUM,2024-01-22 04:00 AM,38345,-0.24,0.11141,215,-0.67,38130,-0.23,,229100,252010,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cvr7K0mLhCD/,The latest drop from Humanrace elevates the Samba with a highend leather upper lining and shoelaces sourced from eccoleather a world leader in premium leather.Humanrace Samba Tones by Pharrell in 3 new colorways will be available globally August 12th via Confirmed Humanrace.com and select retailers.,CAROUSEL_ALBUM,2023-08-08 10:05 AM,38166,-0.24,0.11094,215,-0.67,37951,-0.24,,355249,390774,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cxah6iyI6Y9/,An original that has been moving strong for over 70 years. #adidasGazelle #WeGaveTheWorldAnOriginal,IMAGE,2023-09-20 09:00 AM,36981,-0.27,0.10745,144,-0.78,36837,-0.26,,1120589,1232648,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CsYIGnoI6yM/,jalen and the new BAPE Forum 84 Low. Question is: blue or green?,reel,2023-05-18 04:00 AM,35403,-0.3,0.10291,545,-0.17,34858,-0.3,,339350,373285,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CzYRXd1ofQv/,Natural lightEncounter the elegance of sportswear with adidas Originals by Wales BonnerAvailable now on CONFIRMED adidas.com/wales_bonner walesbonner.net and select retailers.,CAROUSEL_ALBUM,2023-11-08 04:00 AM,34859,-0.31,0.10128,154,-0.76,34705,-0.3,,300646,330711,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cu18y3wIp9W/,FIT CHECK: valslooks styling the Superstar XLG 7 ways in 7 days. #SuperstarXLG,reel,2023-07-18 11:01 AM,34360,-0.32,0.09988,163,-0.75,34197,-0.31,,293691,323060,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CrUjb0GL_7W/,Fear of God Athletics. Coming soon.,IMAGE,2023-04-21 10:09 PM,33903,-0.33,0.09867,127,-0.8,33776,-0.32,,249976,274973,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CzZJ9U8LeeF/,When 90s nostalgia meets sporty sophistication. adidas Originals x walesbonner available now on CONFIRMED adidas.com/wales_bonner and select stores,CAROUSEL_ALBUM,2023-11-08 12:14 PM,33187,-0.34,0.09642,158,-0.75,33029,-0.34,,298536,328390,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CyDvLSHtd2C/,Exploring deconstructed garments and textures with muartive.#moncleradidasoriginals,reel,2023-10-06 09:07 AM,32295,-0.36,0.09383,91,-0.86,32204,-0.35,,207782,228561,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CrispJUIwar/,POV: You’re one of 18 artists reimagining the classics 👟✨,reel,2023-04-27 10:00 AM,32230,-0.36,0.09369,158,-0.75,32072,-0.36,,281937,310130,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Ctzezu8L9YY/,Views from Paris 💙 adidasrunning athletes yomif_kejelcha and tami_tola walked the walesbonner Marathon Spring Summer 2024 show. Swipe to see their walks and wears. #adidasOriginalsbyWalesBonner,CAROUSEL_ALBUM,2023-06-22 03:28 PM,31866,-0.37,0.09263,159,-0.75,31707,-0.36,,285355,313891,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CqhrtLCoYhz/,Welcome a new chapter in the adidas x Gucci narrative from a fresh perspective. Signature silhouettes connect with archive-inspired icons to create something distinctly new. Discover the #adidasxGucci collection on CONFIRMED and online at adidas.com/gucci,reel,2023-04-02 04:01 AM,31704,-0.37,0.09227,155,-0.76,31549,-0.37,,283143,311457,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cqf9lf2gGlM/,👀... see you in the desert...,reel,2023-04-01 12:00 PM,31572,-0.37,0.09199,195,-0.7,31377,-0.37,,301597,331756,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cwwy0UpIifV/,Built for basketball adopted by culture. Dive into the rich legacy of #adidasSuperstar.#WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-04 03:59 AM,31464,-0.38,0.09142,170,-0.74,31294,-0.37,,1176495,1294145,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cw18iLAo8yT/,Rewind to the early 2000s: music videos iconic films and the reign of the laceless #adidasSuperstar. Swipe to unfold the story. #WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-06 04:01 AM,31458,-0.38,0.0914,140,-0.78,31318,-0.37,,1148273,1263101,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CrUjojzrd7O/,Fear of God Athletics. Coming soon.,IMAGE,2023-04-21 10:11 PM,31289,-0.38,0.09107,161,-0.75,31128,-0.37,,249317,274248,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CzL-TmzLZTJ/,Available now the Humanrace Samba collection continues to channel Pharrell’s intuition and Humanrace’s design ethos through expert craftsmanship and premium materials.Standout details include an elongated fold-over tongue zig-zag stitching waxed laces and a suede toe-cap. Photography by Liammacrae captures the essence of the collection’s versatility and comfort.Available globally via adidas.com/Pharrell Humanrace.com and select retailers.,CAROUSEL_ALBUM,2023-11-03 10:22 AM,31030,-0.38,0.09016,120,-0.81,30910,-0.38,,265869,292456,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CwzXoScIOpc/,1965. The first ever #adidasSuperstar ad. An Original that changed the game both on and off the court. #WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-05 04:00 AM,30912,-0.39,0.08981,188,-0.71,30724,-0.38,,1158040,1273844,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cy_xAuqPqN7/,From the streets to the studios the shop to the stage. The #adidasRivalry pushed the game forward for all of us. #WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-10-29 04:35 PM,30808,-0.39,0.08951,106,-0.83,30702,-0.38,,234831,258314,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/C0ZTB_WLpzP/,Discover the 2023-2024 fearofgodathletics opening season collection available now on fearofgod.com and CONFIRMED.,IMAGE,2023-12-03 10:05 AM,30668,-0.39,0.08894,133,-0.79,30535,-0.39,,186993,205692,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CxC0a06oj1U/,The press called it Samba and we’ve danced with the name ever since. #adidasSamba #WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-11 04:00 AM,30582,-0.39,0.08885,125,-0.8,30457,-0.39,,1108394,1219233,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyV2ejbLlYP/,VISIONARY. BRIDGE. ORIGINALWelcome back edisonchenedisonchen x adidasoriginals#1000originals#adidasoriginals,IMAGE,2023-10-13 09:55 AM,30557,-0.39,0.08878,264,-0.59,30293,-0.39,,236499,260149,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Ctt3tQmg8IO/,De 🇵🇷 pa 🇫🇷 sin escalas ​Meet the latest colorway in the badbunnypr Response CL collection: Triple Black. Draw is now open on the adidas CONFIRMED app. #adidasxbadbunny.​,reel,2023-06-20 11:37 AM,30538,-0.39,0.08877,243,-0.63,30295,-0.39,,270316,297348,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CuypODWIG_z/,THE ORIGINAL 🔃 REMIXED. Introducing the Superstar XLG — The iconic silhouette receives a bold elevated platform. Made for ever-evolving streetwear aesthetics.-Available globally on adidas.com and adidas stores. Link in bio.#SuperstarXLG,CAROUSEL_ALBUM,2023-07-17 04:11 AM,30268,-0.4,0.08799,140,-0.78,30128,-0.39,,267507,294258,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyBXkYJN2Nn/,A harmonious collision of ideas the Moncler x adidas Originals collection continues on its journey to develop The Art of Explorers.,CAROUSEL_ALBUM,2023-10-05 11:00 AM,30229,-0.4,0.08783,114,-0.82,30115,-0.39,,236837,260520,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cw9qzYKob-w/,Gazelle: the comeback kicks with musical roots in pop culture.#adidasGazelle #WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-09 04:00 AM,29976,-0.4,0.08709,128,-0.8,29848,-0.4,,1095321,1204853,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CxFZLQjIPoe/,How has #adidasSamba evolved over the years? Swipe to find out.#WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-12 03:59 AM,29489,-0.41,0.08568,265,-0.59,29224,-0.41,,1151389,1266528,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyYJbPNuW5b/,Congrats edisonchen Sights from the SS24 clot Fashion Show.,CAROUSEL_ALBUM,2023-10-14 07:19 AM,28971,-0.42,0.08417,182,-0.72,28789,-0.42,,246660,271325,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Ct1sJDCreYB/,A postcard from IVY PARADISE. Available now — link in bio to shop. #adidasxivypark #ivyparadise,CAROUSEL_ALBUM,2023-06-23 12:03 PM,28801,-0.43,0.08372,247,-0.62,28554,-0.43,,270026,297028,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CxsKSwvt8ET/,Spirit. Tenacity. Original.  stormzy x adidasOriginals x adidasLondon  #1000Originals #adidasOriginals,reel,2023-09-27 05:44 AM,28677,-0.43,0.08332,167,-0.74,28510,-0.43,,872274,959501,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/C3kthmfroru/,What happens when two legacies collide and a new era begins? Welcome to the house of edisonchen.Available in-store online and on CONFIRMED February 23rd.,reel,2024-02-20 10:05 AM,28556,-0.43,0.08297,529,-0.19,28027,-0.44,,276603,304264,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyEDhswoytT/,Originality meets Extraordinary in the pursuit of exploration. vickyylopezz._ jkeey4 stefanostsitsipas98,CAROUSEL_ALBUM,2023-10-06 12:02 PM,27467,-0.45,0.0798,124,-0.81,27343,-0.45,,221070,243176,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CuOkvSXo9Pt/,New season fits ☑️ adidas Originals x kseniaschnaider,reel,2023-07-03 04:00 AM,27371,-0.46,0.07956,283,-0.56,27088,-0.45,,297818,327600,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cxfre2doqko/,An icon of street style stays true to its legacy – on and off the pitch. #adidasSamba #WeGaveTheWorldAnOriginal,IMAGE,2023-09-22 09:00 AM,26878,-0.47,0.07809,138,-0.79,26740,-0.46,,822550,904805,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CxOFMg6IAAE/,Before setting trends across the globe this classic silhouette made headlines in football. The press called it Samba and we’ve run with the name ever since. Once an Original always an Original. #adidasSamba #WeGaveTheWorldAnOriginal,reel,2023-09-15 01:00 PM,26866,-0.47,0.07806,420,-0.36,26446,-0.47,,1053418,1158760,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CtRa4XIoswi/,People place and home.Inspired by the land of wood and water adidas Originals by walesbonner returns with reimagined vintage silhouettes in celebration of Jamaicas cultural identity.Available now via CONFIRMED adidas stores and select retailers.#adidasOriginalsbyWalesBonner,CAROUSEL_ALBUM,2023-06-09 10:00 AM,26655,-0.47,0.07748,202,-0.69,26453,-0.47,,268048,294852,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cw4hOmmoRMt/,From training shoes to style icon #adidasGazelle set the pace in sport. Swipe to discover the journey. #WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-07 04:00 AM,26629,-0.47,0.07737,134,-0.79,26495,-0.47,,981477,1079625,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CtyfPdTL-YW/,It’s a family thing.​​Scenes from Marathon Spring Summer 2024 by walesbonner.​​📍Paris​​#adidasOriginalsbyWalesBonner,CAROUSEL_ALBUM,2023-06-22 06:13 AM,26252,-0.48,0.07631,100,-0.84,26152,-0.47,,221899,244089,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyQtsyPrI0d/,The Blackout.Available in adidas stores online at adidas.com/ivypark and at select partner stores globally on October 12th.#IVYPARKNOIR #adidasxIVYPARK,CAROUSEL_ALBUM,2023-10-11 10:02 AM,26099,-0.48,0.07583,291,-0.55,25808,-0.48,,260206,286227,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CxNHI8UoPoo/,Built for basketball but adopted by hip hop and skate the classic leather Superstar changed the game the moment it stepped off the court. Once an Original always an Original. #adidasSuperstar #WeGaveTheWorldAnOriginal,reel,2023-09-15 04:00 AM,26081,-0.48,0.07578,311,-0.52,25770,-0.48,,996888,1096577,
