Profile,Profile Link,Post Link,Text,Date,Type,Video Length (seconds),Engagement,Engagement Ratio vs Average,Likes,Likes Ratio vs Average,Shares,Shares Ratio vs Average,Saves,Comments,Comments Ratio vs Average,Views,Engagement Rate,Music Name, Music Author, Hashtags, Campaigns
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7294176478634183968,Once upon a time in the world of Dior Anya Taylor Joy was transported to the iconic Tuileries Garden with a dazzling makeup look.   #DiorBeauty #DiorMakeup #DiorHoliday #DreamInDior,2023-10-26 4:10,video,30,52194,-0.28,51823,0.72,976,1.01,371,201,0.27,24382005,0.21407,original sound Dior,,diorbeauty diormakeup diorholiday dreamindior,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7286124382227811616,#DiorBeauty #DiorParfums #JadoreDior #FlowersAreGold ,2023-10-04 11:23,video,71,51289,-0.29,49863,0.7,207,0.21,1426,848,1.17,466633,10.99129,original sound Dior,,diorbeauty diorparfums jadoredior flowersaregold,
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7275639677405678881,Immerse yourself in the pure essence of J?ôadore with L?ôOr de J?ôadore. This fragrance transcends the superfluous focusing on the sensual rose powerful jasmine and solar ylang creating a harmonious and irresistible symphony of scents. ¬† The new L?ôOr de J?ôadore embraces the essence of this timeless masterpiece. ¬† #DiorBeauty #DiorParfums #JadoreDior #FlowersAreGold,2023-09-06 5:17,video,15,51162,-0.29,50000,0.7,943,0.97,473,219,0.3,8300000,0.61641,son original Dior,,diorbeauty diorparfums jadoredior flowersaregold,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7299977388027383073,Catch the holiday flutters with the latest #DiorCruise 2024. ,2023-11-10 18:20,video,31,50872,-0.3,50556,0.71,1018,1.05,316,386,0.53,34352088,0.14809,original sound Dior,,diorcruise,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7323240875901914400,The modern muse. Rachel Zegler awakens the magical allure of red a couture icon amidst the white marble statues. #DiorBeauty #DiorMakeup #RougeDior,2024-01-12 10:54,video,15,50822,-0.3,50515,0.7,273,0.28,307,310,0.43,8591799,0.59152,,,diorbeauty diormakeup rougedior,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7340960358355569953,Dior ambassador Liu Yuxin is totally chilled for the Autumn-Winter 2024-2025 show! #TikTokFashion #ParisFashionWeek,2024-02-29 4:55,video,6,50283,-0.3,44919,0.63,2882,2.98,5364,1356,1.88,5195839,0.96776,,,,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7219758321979411718,Just a few steps to perfecting the Lady 95.22 sunglasses #DiorASMR,2023-04-08 15:09,video,26,50080,-0.31,50079,0.7,174,0.18,1,152,0.21,546867,9.15762,original sound Dior,,diorasmr,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7319506952420216096,More modern. More elegant. More couture. The new Rouge Dior breaks all the rules.  #DiorBeauty #DiorMakeup #RougeDior,2024-01-02 9:25,video,30,49537,-0.31,48556,0.68,437,0.45,981,513,0.71,6093123,0.813,,,diorbeauty diormakeup rougedior,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7285782561563888929,Dilraba Dilmurat emanates elegance at the #DiorSS24 show. #StarsinDior #TikTokFashion,2023-10-03 13:17,video,10,46395,-0.36,44622,0.62,409,0.42,1773,895,1.24,446917,10.38112,original sound Dior,,diorss24 starsindior tiktokfashion,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7286412815605222688,@Jenna Ortega raises the Bar for glamour at #DiorSS24!  #StarsinDior #TikTokFashion,2023-10-05 6:03,video,9,45588,-0.37,43686,0.61,247,0.25,1902,195,0.27,363729,12.53351,original sound Dior,,diorss24 starsindior tiktokfashion,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7242052080624520474,A declaration of love. ¬† #MissDior is an immediate pleasure a declaration of love for life that seizes hold of you. ¬† #DiorBeauty #DiorParfums #LoveIsABouquet ,2023-06-07 17:00,video,10,44718,-0.38,44716,0.62,1072,1.11,2,487,0.67,457638,9.77148,original sound Dior,,missdior diorbeauty diorparfums loveisabouquet,
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7254238226787863834,Portray your personality with Tribales Rose des Vents earrings like Julia de Nunez. #DiorJoaillerie ,2023-07-10 13:09,video,10,44205,-0.39,44000,0.61,94,0.09,164,111,0.15,7600000,0.58164,original sound Dior,,diorjoaillerie,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7280095957486783777,Discover ambassador Xin Liu?ôs celestial charms.,2023-09-21 5:00,video,0,41801,-0.42,41519,0.58,504,0.52,282,311,0.43,501350,8.33769,original sound - Dior Dior,,,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7329901583657962784,Catch an exclusive glimpse behind the scenes of the Rouge Dior shoot with Dilraba. #DiorBeauty #DiorMakeup #RougeDior,2024-01-30 9:41,video,17,39253,-0.46,38409,0.53,351,0.36,844,650,0.9,2758070,1.42321,,,diorbeauty diormakeup rougedior,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7317698454120107296,Are you ready for the next chapter in the Rouge Dior story? A new Rouge Dior era is coming in 2024. ¬† #DiorBeauty #DiorMakeup #RougeDior ,2023-12-28 12:27,video,5,38684,-0.46,38051,0.53,108,0.11,633,205,0.28,632783,6.11331,,,diorbeauty diormakeup rougedior,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7322473967963393313,Jennifer Lawrence mesmerizes in custom Maria Grazia Chiuri for the @Golden Globe Awards ,2024-01-10 9:18,video,9,38322,-0.47,37416,0.52,41,0.04,906,96,0.13,315753,12.1367,original sound,Dior,,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7218882068762217733,#DAREINGRISDIOR WITH THE COLLECTIVE. Unique and versatile renowned and yet still mysterious each artist in this eclectic group is composed of multiple facets. Just like the scent of¬†#GrisDior. #DiorBeauty #DiorLaCollectionPrivee,2023-04-06 6:29,video,30,36322,-0.5,36320,0.51,1826,1.89,2,526,0.72,23873457,0.15214,original sound Dior,,dareingrisdior grisdior diorbeauty diorlacollectionprivee,
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7280045333814463776,Texture that draws you in. #DiorWinter23,2023-09-18 2:14,video,17,34556,-0.52,34200,0.48,233,0.24,750,123,0.17,868700,3.9779,original sound Dior,,diorwinter23,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7321864080417885472,Elegance never looked so good. Natalie Portman radiates at the @Golden Globe Awards in a #DiorCouture tulle gown with micro-flower embroidery.,2024-01-08 17:52,video,12,34485,-0.52,33561,0.47,86,0.08,924,249,0.34,299200,11.52574,,, diorcouture,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7320175387378568480,,2024-01-04 4:39,carrousel,0,32696,-0.55,30875,0.43,331,0.34,1821,319,0.44,354237,9.22998,original sound Dior,,,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7323898579494505760,The Dior Atelier of Couture is Dilrabas playground as she asserts her magnetic beauty and flaunts her contemporary style dressed in iconic Rouge. #DiorBeauty #DiorMakeup #RougeDior,2024-01-14 5:27,video,15,31071,-0.57,30137,0.42,296,0.3,934,538,0.74,2826611,1.09923,original sound,Dior,diorbeauty diormakeup rougedior,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7286134251806838048,Anya Taylor-Joy rewrites the entrance-making rule book at #DiorSS24! #StarsinDior #TikTokFashion ,2023-10-04 12:02,video,10,30909,-0.57,30166,0.42,110,0.11,743,108,0.14,328733,9.40246,original sound Dior,,diorss24 starsindior tiktokfashion,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7299130157808241953,Sauvage Elixir bottle reinterpreted in a crystal bottle with extraordinary luminosity by Baccarat. #DiorBeauty #DiorParfums #DiorSauvage ,2023-11-08 11:32,video,14,30161,-0.58,27891,0.39,630,0.65,2270,612,0.84,451896,6.67432,original sound Dior,,diorbeauty diorparfums diorsauvage,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7228628189424127238,Over here! Alexandra Daddario strikes another #MetGala2023 pose.,2023-05-03 2:00,video,9,29706,-0.59,29676,0.41,674,0.69,30,163,0.22,911517,3.25896,original sound Dior,,metgala2023,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7236697886191308059,Captivating from every angle! Join Natalie Portman behind the scenes as she prepares to dazzle on the Cannes red carpet with iconic Dior makeup products. ¬† ¬© Dnl.Darmon #DiorBeauty #DiorCannes #Dior #MariaGraziaChiuri,2023-05-24 6:43,video,43,29016,-0.6,29013,0.4,481,0.49,3,196,0.27,380767,7.62041,original sound Dior,,diorbeauty diorcannes dior mariagraziachiuri,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7325121552008138016,¬´¬†More than a legacy more than a silhouette the New Look is a state of mind a way of viewing and reinterpreting the world. This powerful mindset has transcended time...¬†¬ª Francis Kurkdjian ¬† #DiorBeauty #DiorLaCollectionPrivee ,2024-01-17 12:32,video,38,28542,-0.6,28318,0.39,197,0.2,224,63,0.08,5028828,0.56757,original sound,Dior,diorbeauty diorlacollectionprivee,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7234197662633839898,Jennifer Lawrence aces her #DiorLady9522 history exam!,2023-05-18 9:00,video,26,25666,-0.64,25664,0.36,122,0.12,2,73,0.1,388117,6.61295,original sound - Dior Dior,,diorlady9522,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7286035021276646689,The crowds came out for Mile Phakphum and Apo Nattawin at #DiorSS24! #StarsinDior #TikTokFashion #MileApo ,2023-10-04 5:37,video,15,25281,-0.65,23478,0.32,1038,1.07,1803,1313,1.82,195718,12.91705,original sound Dior,,diorss24 starsindior tiktokfashion mileapo,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7306543056927395104,Take a spin on the Dior?ôs Carousel of Dreams at @Saks Fifth Avenue a magical journey of enchantment with the House beauty icons. #SaksxDior #DiorBeauty #DiorHoliday #DreamInDior,2023-11-28 10:58,video,36,23811,-0.67,23526,0.33,311,0.32,285,117,0.16,7086133,0.33602,original sound Dior,,saksxdior diorbeauty diorholiday dreamindior,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7247860690348821787,Follow Dior Thailand ambassadors Mile Phakphum and Apo Nattawin for a touch of¬†#DiorSummer24 pre-show style!¬† ¬† #TikTokFashion,2023-06-23 8:41,video,36,23443,-0.67,21454,0.3,1064,1.1,1989,1168,1.62,211485,11.08495,original sound Dior,,diorsummer24 tiktokfashion,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7333607650904558880,The stunning Rachel Zegler takes you behind the scenes of the new Rouge Dior campaign. #DiorBeauty #DiorMakeup #RougeDior,2024-02-09 9:23,video,19,22795,-0.68,22514,0.31,106,0.1,281,99,0.13,5027802,0.45338,,,diorbeauty diormakeup rougedior,
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7264672636578434337,A declaration of love. ¬† #MissDior is an immediate pleasure a declaration of love for life that seizes hold of you. ¬† #DiorBeauty #DiorParfums #LoveIsABouquet,2023-08-07 16:00,video,10,21526,-0.7,20800,0.29,450,0.46,1382,276,0.38,242200,8.8877,original sound Dior,,missdior diorbeauty diorparfums loveisabouquet,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7307677539927903521,A small Dior world of Wonders??¬† Discover La Malle des R√™ves an exclusive offer meticulously crafted with premium wood and adorned with the iconic Toile du Marais a specific cotton material used in Dior Ateliers.  ¬† #DiorBeauty #DiorHoliday #DreamInDior,2023-12-01 12:21,video,38,21365,-0.7,20396,0.28,276,0.28,969,158,0.21,291069,7.34018,original sound Dior,,diorbeauty diorholiday dreamindior,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7288719837096840480,Come behind the scenes of Nude Rouge is The New Look with new Dior Makeup Ambassador Dilraba Dilmurat.  ??Daniel Jackson & @brigitteniedermairstudio  ¬† #DiorBeauty #DiorMakeup #RougeDior,2023-10-11 11:15,video,46,21176,-0.7,20297,0.28,276,0.28,879,782,1.08,252378,8.39059,original sound Dior,,diorbeauty diormakeup rougedior,
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7277970097359113504,A new artistic dialogue between Jean-Michel Othoniel and J?ôadore. The universe of the famous French artist blends in harmony with that of L?ôOr de J?ôadore his passion for flowers becoming an exceptional work of art. #DiorBeauty #DiorParfums #JadoreDior #FlowersAreGold,2023-09-12 12:01,video,9,20969,-0.71,20700,0.29,166,0.17,671,103,0.14,247300,8.47918,son original Dior,,diorbeauty diorparfums jadoredior flowersaregold,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7286507954499489056,Getting Ready for the Dior J?ôadore Exhibition with Charlize Theron #DiorBeauty #DiorParfums #JadoreDior #FlowersAreGold,2023-10-05 12:12,video,35,20963,-0.71,20273,0.28,492,0.5,690,262,0.36,635304,3.29968,original sound Dior,,diorbeauty diorparfums jadoredior flowersaregold,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7333555002650250528,It?ôs showtime for Dior ambassador Sohee Han at #DiorCouture! #TikTokFashion ,2024-02-09 5:59,video,90,20582,-0.71,19265,0.27,182,0.18,1317,211,0.29,219330,9.38403,,,diorcouture tiktokfashion,
