Profile,Profile Link,Post Link,Text,Date,Type,Video Length (seconds),Engagement,Engagement Ratio vs Average,Likes,Likes Ratio vs Average,Shares,Shares Ratio vs Average,Saves,Comments,Comments Ratio vs Average,Views,Engagement Rate,Music Name, Music Author, Hashtags, Campaigns
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7211220667524468010,With a weekly rotation of ooey-gooey #cookies at 17 locations throughout NY & NJ you?ôll definitely want to add #ChipCity to the top of your list on #ubereats ?§§?ç™,2023-03-16 14:59,video,20,5237,-0.4,5101,0.58,21,0.42,54,61,0.53,61300,8.54323,Sweet Femi Jaye,,cookies chipcity ubereats,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7230850514253057322,I could watch these all day ?§© ,2023-05-08 12:33,video,31,5208,-0.41,5158,0.59,9,0.18,16,25,0.22,158500,3.2858,Midnight Prod. By Rose,,,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7207877744162606379,ordering that was *literally* a piece of cake ?òã?éÇ #ubereats ,2023-03-07 13:47,video,24,5186,-0.41,5060,0.58,4,0.08,30,92,0.81,55000,9.42909,Cute music box-style happy birthday Minaco,,ubereats,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7244251296167939374,tag someone that would love this ramen ?§§?çú?ç• #ubereats ,2023-06-13 15:14,video,32,5169,-0.41,5019,0.57,41,0.82,71,38,0.33,74400,6.94758,Blue jazz background music undefined,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7278000154614009131,Tag someone who made that place special ?´∂,2023-09-12 13:57,video,6,5140,-0.41,5113,0.58,43,0.86,27,308,2.71,82752,6.21133,son original Alex Ciss√©,,,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7329593448431062318,Have you tried any of these burgers? ?§§?çî #ubereats ,2024-01-29 13:46,video,60,5032,-0.43,4820,0.55,63,1.27,212,29,0.25,123599,4.07123,,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7320292506946735406,I?ôm getting myself a ride home. That?ôs what I?ôm doing ?òå,2024-01-04 12:13,video,6,4977,-0.43,4928,0.56,10,0.2,49,13,0.11,76635,6.49442,eye cunt dew knight AHRIHQ,,,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7314760426934390062,Where?ôs your favorite holiday market? ?òç?éÑ?ÑÔ∏è,2023-12-20 14:26,video,26,4898,-0.44,4847,0.55,19,0.38,51,66,0.58,151948,3.22347,original sound Uber,,,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7260526425529142571,I wasn?ôt hungry when he ordered but I am now ?§∑?ç‚?Ô∏?#ubereats ,2023-07-27 11:50,video,7,4818,-0.45,4793,0.54,39,0.78,25,114,1,77708,6.20013,original sound user2117519005342,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7293530151936134442,Like was it me or my roommate? ?ßê (I live alone) #ubereats ,2023-10-24 10:22,video,9,4806,-0.45,4779,0.54,173,3.49,27,94,0.82,57262,8.393,ÿß?ÿµ?ÿ™ ÿß?ÿ£ÿµ?? ÿß?ÿ®ÿ±?ÿ≥ ?é∂,,ubereats,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7210838337077267755,This is what I mean when I say I want it CRISPY ?§©?íö #ubereats #miami ,2023-03-15 14:15,video,26,4613,-0.47,4544,0.52,18,0.36,37,14,0.12,59100,7.80541,Morning with U Tollan Kim,,ubereats miami,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7207469975169174826,But if I go I?ôm still ordering on #ubereats otw home ?§≠?ç¥?çï,2023-03-06 11:25,video,7,4316,-0.51,4264,0.48,6,0.12,12,34,0.3,53800,8.0223,original sound Aubrey Plaza,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7257546478586023210,Are you team #UberEats night IN or #Uber night OUT? ??,2023-07-19 11:07,video,4,4240,-0.52,4217,0.48,12,0.24,23,54,0.47,66704,6.35644,oh my god this is kind of awkward estrella,,ubereats uber,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7247883171214249262,Okay I like it. Picasso! ?ç£?íö #ubereats ,2023-06-23 10:08,video,68,4232,-0.52,4149,0.47,16,0.32,45,22,0.19,75500,5.6053,Four Seasons Winter 3rd Movement / Vivaldi(1214147) undefined,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7279084437898579246,What?ôs your favorite kind of dumpling? ?§§ #ubereats ,2023-09-15 12:05,video,63,4058,-0.54,4036,0.46,20,0.4,22,69,0.6,83821,4.84127,Four Seasons Winter 3rd Movement / Vivaldi(1214147) Issaku Matsumoto,,ubereats,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7226019009483853098,a full serving of backseat tea ?´ñ??,2023-04-25 12:04,video,9,3946,-0.55,3907,0.44,8,0.16,8,23,0.2,55000,7.17455,original sound kiersten / KD ?¶¶,,,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7229395090416979243,no cats were harmed in the making of this tiktok ?§£?êà?íö #ubereats ,2023-05-04 14:25,video,5,3819,-0.56,3753,0.43,10,0.2,22,34,0.3,40600,9.4064,original sound Memes about stuff,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7313987727479803182,Tag your friend that never says no to fried chicken ?§§?íö #ubereats ,2023-12-18 12:27,video,25,3818,-0.56,3751,0.43,29,0.58,67,41,0.36,58342,6.54417,,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7325149024200166702,scheduling my ride in advance > day of chaos #UberReserve ,2024-01-17 14:19,video,7,3783,-0.57,3766,0.43,11,0.22,17,29,0.25,112488,3.36303,,,uberreserve,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7296535761912974638,Tag your chronically late friends ?òÇ?ñ§ #uber ,2023-11-01 12:45,video,6,3772,-0.57,3755,0.43,22,0.44,17,36,0.31,81006,4.65645,original sound Julian Hagins,,uber,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7223810892079697194,when I say I wanna be yassified this is what i mean ?òå?çó #ubereats #friedchicken ,2023-04-19 13:16,video,30,3760,-0.57,3681,0.42,18,0.36,31,30,0.26,54100,6.95009,Applesauce Mark Fabian & Alexander Smith & George King & RK Masters,,ubereats friedchicken,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7233488121432722730,Has anybody else ever done this ?òÖ #ubereats ,2023-05-15 15:08,video,7,3647,-0.58,3567,0.4,12,0.24,28,40,0.35,64000,5.69844,original sound XSW_Studios,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7335107370755902763,crab cake EGG ROLLS?! Say less ?§§???íö #ubereats ,2024-02-13 10:23,video,60,3602,-0.59,3451,0.39,191,3.85,151,26,0.22,67370,5.34659,,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7316926556952284462,When I say I?ôm ?®serving??on New Years Eve this is what I mean ?òå?íö #ubereats ,2023-12-26 10:32,video,285,3578,-0.59,3536,0.4,72,1.45,42,38,0.33,120236,2.97581,,,ubereats,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7220480213946305835,A driver once told me to ?úremember to slow down??and he wasn?ôt only talking about driving??2023-04-10 13:51,video,7,3512,-0.6,3296,0.37,15,0.3,13,188,1.65,51100,6.8728,Da Girls Ciara,,,,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7241542258388962606,Have you ever tried a Montr√©al bagel? ?§§?? #ubereats ,2023-06-06 8:02,video,58,3318,-0.62,3265,0.37,1,0.02,26,26,0.22,49400,6.7166,Four Seasons Winter 3rd Movement / Vivaldi(1214147) Issaku Matsumoto,,ubereats,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7236488053869563179,tag the person you?ôd bring along ?í´,2023-05-23 17:09,video,10,3301,-0.62,3145,0.36,21,0.42,15,120,1.05,54200,6.09041,Earth Magic INZO & ELOHIM,,,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7278370352281963819,BIRRIA HIVE RISE UP!! ?åÆ #ubereats ,2023-09-13 13:54,video,23,3225,-0.63,3202,0.36,46,0.92,23,44,0.38,57654,5.59371,Midnight whoisazar!,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7286159278266666283,What I watch directly affects how my food tastes ???òÖ #ubereats ,2023-10-04 13:39,video,15,3212,-0.63,3195,0.36,40,0.8,17,64,0.56,80828,3.97387,original sound Cokes,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7254595375481228586,I didnt know I needed cheese on a cookie until now ?§§?ç™ #ubereats ,2023-07-11 12:15,video,24,3201,-0.63,3144,0.36,82,1.65,57,21,0.18,45105,7.09677,Summer Goals Stuart Moore,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7321772290600062254,You had me at THICK and JUICY ?§§ #ubereats #birriatacos ,2024-01-08 11:56,video,60,3167,-0.64,3103,0.35,46,0.92,64,18,0.15,53554,5.91366,,,ubereats birriatacos,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7273170502049353002,Okay maybe I?ôm a LITTLE jealous ?òÖ #uber ,2023-08-30 13:36,video,7,3143,-0.64,3122,0.35,15,0.3,21,30,0.26,43498,7.22562,original sound Roo,,uber,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7268326292049644842,#stitch with @Uber ?íö This is now a Skye-girl fan account ?ê∂?òç #ubereats ,2023-08-17 12:18,video,32,3142,-0.64,3121,0.35,22,0.44,21,31,0.27,43517,7.22017,Me and My Pet Eitan Epstein Music,,stitch ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7272419130689522987,no further questions ?òÖ ,2023-08-28 13:00,video,7,3137,-0.64,3121,0.35,17,0.34,16,34,0.3,58474,5.36478,original sound sam blehar,,,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7270518155062234414,Which #cheesepull is your favorite? ???§§ #ubereats ,2023-08-23 10:04,video,20,2963,-0.66,2932,0.33,52,1.04,31,52,0.45,48254,6.14042,original sound Claire,,cheesepull ubereats,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7237148263516884267,Vodka sauce pesto AND red sauce on a pizza?! Say less ?§§?çï #ubereats ,2023-05-25 11:51,video,28,2926,-0.66,2847,0.32,26,0.52,28,25,0.22,47400,6.173,Lion Blackway,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7312470389744061739,Which holiday traveler are you? ?àÔ∏è?öó?í® ,2023-12-14 10:20,video,43,2801,-0.68,2770,0.31,17,0.34,31,47,0.41,46198,6.06303,,,,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7280208244054707498,This one?ôs for the sunset chasers ?§© #uber #sunset ,2023-09-18 12:46,video,20,2723,-0.69,2700,0.3,25,0.5,23,78,0.68,66788,4.07708,original sound Uber,,uber sunset,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7334802663080496427,What?ôs your favorite little cafe treat and why is it a croissant? ?•ê?? #uber ,2024-02-12 14:41,video,25,2696,-0.69,2592,0.29,13,0.26,104,68,0.6,74081,3.63926,,,uber,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7276512715630365998,What pattern did you see? ???õí #ubereats ,2023-09-08 13:45,video,58,2672,-0.69,2659,0.3,22,0.44,13,113,0.99,57442,4.65165,Aeolian Harp / Chopin  Acoustic Guitar(1085680) Noi m knot,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7309144755458395434,How many times did she say ?òMUSEUM?? ???ñ§ #uber ,2023-12-05 11:15,video,21,2669,-0.69,2654,0.3,9,0.18,15,47,0.41,72993,3.65652,,,uber,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7237511604152274222,But I kinda hope they try ngl ?òâ,2023-05-26 11:21,video,3,2641,-0.7,2587,0.29,15,0.3,17,22,0.19,42200,6.25829,original sound betches,,,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7239753864067419434,Imagine not getting chips & guac with your tacos?! Couldn?ôt be me ?íö #ubereats ,2023-06-01 12:22,video,22,2629,-0.7,2532,0.29,30,0.6,30,37,0.32,48400,5.43182,Standards Keke Palmer,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7252394281162329386,perfect perfect PERFECT! ?íö #ubereats ,2023-07-05 13:53,video,29,2586,-0.7,2574,0.29,15,0.3,12,15,0.13,46532,5.55747,French Acoustic Waltz(1092853) Kenji Ueda,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7330680287883578667,girl dinner has come SUCH a long way ?íö #ubereats ,2024-02-01 12:03,video,60,2556,-0.71,2455,0.28,6,0.12,101,20,0.17,84305,3.03185,,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7270591005802401067,Yet they always end up wearing the same thing ?òÖ,2023-08-23 14:46,video,6,2525,-0.71,2503,0.28,24,0.48,22,12,0.1,38012,6.64264,Originalton Mira ?çì?ßø,,,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7221673796984376619,tag your friend group leader ?ñ§?òÖ,2023-04-13 19:02,video,5,2503,-0.71,2441,0.28,14,0.28,20,28,0.24,53100,4.71375,original sound Ashley Scully,,,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7247193466055249195,how many times did she say ?òpoutine?? ?çü?? #ubereats ,2023-06-21 13:32,video,25,2457,-0.72,2347,0.26,8,0.16,12,90,0.79,45600,5.38816,Today I Wanted To Eat Poutine Uber,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7249402961208577322,you had me at taco tuesdays ?òé?åÆ#ubereats ,2023-06-27 12:26,video,26,2455,-0.72,2423,0.27,55,1.11,32,21,0.18,57085,4.3006,One Day At A Time undefined,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7250146635584539950,Took a ride with #TayshiaAdams in Athens ?§© Now I really want a Cheezy Gordita Crunch ?§§?åÆ,2023-06-29 12:31,video,33,2370,-0.73,2354,0.27,29,0.58,16,41,0.36,43972,5.38979,Good Time undefined,,tayshiaadams,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7257198039792700714,those views tho ?§© #uber ,2023-07-18 12:35,video,9,2370,-0.73,2347,0.26,14,0.28,23,26,0.22,33622,7.04896,Mozart Minuet with violin(815356) ?æÊú¨‰∏ÄÁ≠?,uber,,
