Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CxzvfLWoYk2/,Jam. Funk. Original. ¬†jamiroquaihq¬†x adidasOriginals x adidasLondon#1000Originals #adidasOriginals,IMAGE,2023-09-30 4:00,41513,-0.18,0.12061,403,-0.38,41110,-0.18,,1377635,1515399
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cr8ptj-ImPn/,A collaborative video experience by adidasOriginals x colorsxstudios.¬†?éµ?ãEpisode 2: An atmospheric performance by Palestinian-Serbian-Algerian-French artist¬†saintlevant?ãDiscover his exclusive medley of ?òTell Me I?ôm Dreaming??and ?òFrom Gaza With Love??two¬†tracks¬†from his latest EP and keep an eye out for his upcoming interview. Link in bio.¬†??ClubOriginals,reel,2023-05-07 12:00,40014,-0.21,0.11632,483,-0.26,39531,-0.21,,357541,393295
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CvpaQnbLTBc/,being trusted with another brand?ôs DNA??to build on a tried-and-tested formula??to pen a chapter or even a paragraph in a book like this??it?ôs a great responsibility. And with great responsibility comes great excitement!The new Blondey Pro Model in collaboration with blondey bridges an avant-garde vision and a classic Superstar silhouette ??Available now on CONFIRMED and adidas.com,CAROUSEL_ALBUM,2023-08-07 10:39,39019,-0.23,0.11342,141,-0.78,38878,-0.22,,328552,361407
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cr6GRKirm-D/,humanrace Samba Colors by pharrell ¬†?®¬†‚Ä®The elevated iteration of our Iconic Samba silhouette is a celebration of craftsmanship high-quality materials and colorways that embody the diversity of Humanrace?ôs DNA.¬†¬†¬†Made with all-around premium leather upper leather lining and leather shoelaces from ECCO Leather. The raw materials are transformed into the adidas Samba Leather through eccoleather?ôs water-saving tanning technology which saves 20 liters of water per hide resulting in higher color fastness and better performance. The extended tongue is a nod to the Samba?ôs rich football heritage.¬†¬†Now available on humanrace.com and CONFIRMED ??hit the link in bio to shop. #adidasPharrellWilliams,CAROUSEL_ALBUM,2023-05-06 12:06,38995,-0.23,0.11335,470,-0.28,38525,-0.23,,362273,398501
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/C2ZZDfnIZKJ/,Stepping into the 2000s! From one era¬†to the next let?ôs make our mark just¬†like the legends before us laced up in¬†the reissued OG 2000?ôs runners.Available on adidas.com and at select stores.,CAROUSEL_ALBUM,2024-01-22 4:00,38345,-0.24,0.11141,215,-0.67,38130,-0.23,,229100,252010
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cvr7K0mLhCD/,The latest drop from Humanrace elevates the Samba with a highend leather upper lining and shoelaces sourced from eccoleather a world leader in premium leather.Humanrace Samba Tones by Pharrell in 3 new colorways will be available globally August 12th via Confirmed Humanrace.com and select retailers.,CAROUSEL_ALBUM,2023-08-08 10:05,38166,-0.24,0.11094,215,-0.67,37951,-0.24,,355249,390774
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cxah6iyI6Y9/,An original that has been moving¬†strong for over 70 years.¬†#adidasGazelle¬†#WeGaveTheWorldAnOriginal,IMAGE,2023-09-20 9:00,36981,-0.27,0.10745,144,-0.78,36837,-0.26,,1120589,1232648
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CsYIGnoI6yM/,jalen and the new BAPE Forum 84 Low. Question is: blue or green?,reel,2023-05-18 4:00,35403,-0.3,0.10291,545,-0.17,34858,-0.3,,339350,373285
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CzYRXd1ofQv/,Natural lightEncounter the elegance of sportswear¬†with adidas Originals by Wales BonnerAvailable now on CONFIRMED¬†adidas.com/wales_bonner¬†walesbonner.net and select retailers.,CAROUSEL_ALBUM,2023-11-08 4:00,34859,-0.31,0.10128,154,-0.76,34705,-0.3,,300646,330711
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cu18y3wIp9W/,FIT CHECK: valslooks styling the Superstar XLG 7 ways in 7 days.¬†#SuperstarXLG,reel,2023-07-18 11:01,34360,-0.32,0.09988,163,-0.75,34197,-0.31,,293691,323060
