Profile,Profile Link,Post Link,Text,Date,Type,Video Length (seconds),Engagement,Engagement Ratio vs Average,Likes,Likes Ratio vs Average,Shares,Shares Ratio vs Average,Saves,Comments,Comments Ratio vs Average,Views,Engagement Rate,Music Name, Music Author, Hashtags, Campaigns
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7211912573346778373,Lit up in Gucci. #Gucci,2023-03-18 11:44,video,15,101421,-0.05,101096,0.96,610,0.56,325,165,0.16,4062358,2.4966,suono originale Gucci,,gucci,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7323948149771357473,Friends of the House at Fall Winter 2024 #GucciAncora #GucciFW24 #mfw23 ,2024-01-14 8:39,video,19,100672,-0.06,97351,0.92,757,0.7,3321,2298,2.28,1231416,8.1753,,,gucciancora guccifw24 mfw23,
gucci,https://www.tiktok.com/@m_.gucci,https://www.tiktok.com/@m_.gucci/video/7257205830624218394,ÿ™ÿ®ÿØ?? ÿ±ÿß?ÿ© ÿß?ÿ≠ÿ≥?? ÿß?ÿß? ? ÿ®?ÿØÿ± ÿ≠ÿ®? ??ÿ≠ÿ≥?? ÿß?ÿ™ÿ® ?ÿßÿ≠ÿ≥?? ?ÿßÿ∑?ÿ® ÿß???ÿ™?  #?ÿ≠ÿ±? #ÿß?ÿπÿ±ÿß? #?ÿ±ÿ®?ÿßÿ° #explore #fypp ,2023-07-18 13:05,video,31,99192,-0.07,82600,0.78,478,0.44,4814,11300,11.23,649500,15.27206,??ÿ™ÿ∏ÿ± ÿß???ÿµ?ÿµ?.. ÿ≥?ÿØÿ© ÿπ??ÿ© ??ÿßÿ© ÿß??ÿ±?ÿØ?? ÿß??ÿ∂ÿßÿ¶?ÿ©,,?ÿ≠ÿ±? ÿß?ÿπÿ±ÿß? ?ÿ±ÿ®?ÿßÿ° explore fypp,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7268677813119618336,Alia Bhatt not sharing her secrets on The 21. #GucciBamboo1947,2023-08-18 11:02,video,38,96001,-0.1,95470,0.9,1870,1.73,531,439,0.43,8772955,1.09428,suono originale Gucci,,guccibamboo1947,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7339128140649860384,Sabato De Sarno?ôs #GucciFW24 women?ôs collection #MFW ,2024-02-24 6:25,video,15,95666,-0.1,95489,0.9,601,0.55,177,279,0.27,21308188,0.44896,suono originale,Gucci,guccifw24 mfw,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7280510097892134177,Ancora Milano #GucciAncora ,2023-09-19 8:17,video,23,91640,-0.14,91445,0.86,732,0.68,195,334,0.33,5137055,1.7839,suono originale Gucci,,gucciancora,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7225882289945824538,?ì∏ ?ì∏ ?ì∏ The 21 with #JuliaGarner #GucciHorsebit1955,2023-04-25 3:13,video,15,91253,-0.14,91085,0.86,377,0.35,168,208,0.2,4148875,2.19946,suono originale Gucci,,juliagarner guccihorsebit1955,
gucci,https://www.tiktok.com/@gucci,https://www.tiktok.com/@gucci/video/7233025412761177371,Global Brand Ambassador #KAI discovers Gyeongbokgung Palace in Seoul where #GucciCruise24 will debut ,2023-05-14 9:12,video,33,87138,-0.18,79600,0.75,1724,1.6,2664,3150,3.13,573200,15.20202,suono originale Gucci,,kai guccicruise24,
gucci,https://www.tiktok.com/@m_.gucci,https://www.tiktok.com/@m_.gucci/video/7207092845403000070,ÿßÿÆÿ∑ÿ± ??ÿ∂?ÿπ ÿ®ÿß?ÿπÿß?? ?åé ?ÿß?? ?ÿßÿ™ÿ≠ÿØÿß? ÿßÿ™??? ?? ?ÿ≠?ÿØ ?ÿ≤?ÿ±ÿßÿ° ?ÿπ?? ??ÿ±?? ÿπÿØ?? ÿ®ÿß?ÿ®?ÿ™  ?ÿß?ÿ´ÿ± ?ÿßÿ≠ÿØ ?ÿπ?? ÿßÿ´ÿ®ÿ™ÿ© ??ÿ¥ÿ±ÿ© ?ÿß???   #ÿß?ÿπÿ±ÿß? #tiktok #ÿ®ÿ∫ÿØÿßÿØ #explore #ÿß??ÿß??? ,2023-03-05 11:01,video,44,86375,-0.19,80800,0.76,925,0.86,4650,0,0,1200000,7.19792,Love You So The King Khan & BBQ Show,,ÿß?ÿπÿ±ÿß? tiktok ÿ®ÿ∫ÿØÿßÿØ explore ÿß??ÿß???,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7227018134778039578,Lighting up the Shanghai skyline. #GucciCosmos #Gucci,2023-04-28 4:41,video,29,83667,-0.22,83480,0.79,581,0.54,187,239,0.23,3763285,2.22324,suono originale Gucci,,guccicosmos gucci,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7263457647876181280,An instant emblem forged by a flame #GucciBamboo1947 ,2023-08-04 9:25,video,30,77667,-0.27,75019,0.71,1576,1.46,2648,556,0.55,1317206,5.89634,suono originale Gucci,,guccibamboo1947,
