INDUSTRY,Size,PLATFORM,PROFILE,FOLLOWERS,FOLLOWERS EVOLUTION,ENGAGEMENT,POSTS,AVERAGE ENG/ POST,AVERAGE ENG RATE/ POST,ENGAGEMENT RATE/ PROFILE,REACH,VIEWS
Tech,Small,YouTube,Smartsheet,"42,600",0 0%,51,12,4.3 /post,0.01%,0.12%,,14.49K
Travel,Big,Facebook,Carnival Cruise Line,"5,098,377",744 0.01%,31315,16,1957 /post,0.04%,0.61%,"256,667",
Travel,Big,Instagram,Carnival Cruise Line,"927,019","5,717 0.62%",73355,13,5643 /post,0.61%,7.91%,"888,130",
Travel,Big,TikTok,Carnival Cruise Line,"236,683",0 0%,39124,9,4347 /post,1.84%,16.53%,,
Travel,Big,YouTube,Carnival Cruise Line,"113,000","1,000 0.89%",858,3,286 /post,0.25%,0.76%,,69.95K
Travel,Big,Facebook,Delta Air Lines,"3,324,382","-1,450 -0.04%",12495,6,2083 /post,0.06%,0.38%,"65,765",
Travel,Big,Instagram,Delta Air Lines,"1,370,805","8,863 0.65%",71074,13,5467 /post,0.40%,5.19%,"751,780",
Travel,Big,LinkedIn,Delta Air Lines,"8,431",0 0%,0,0,0 /post,0%,0%,,
Travel,Big,TikTok,Delta Air Lines,"555,528",0 0%,8166,7,1167 /post,0.21%,1.47%,,
Travel,Big,Twitter,Delta Air Lines,"1,656,093",243 0.01%,3041,6,506.8 /post,0.03%,0.18%,,
Travel,Big,YouTube,Delta Air Lines,"110,000",0 0%,120,2,60 /post,0.06%,0.11%,,2000
Travel,Big,Facebook,Expedia,"6,672,631","-6,196 -0.09%",0,0,0 /post,0%,0%,0,
Travel,Big,Instagram,Expedia,"557,327","2,998 0.54%",11125,22,505.7 /post,0.09%,2.00%,"132,121",
Travel,Big,TikTok,Expedia,"1,446,564","34,463 2.44%",99716,12,8310 /post,0.57%,6.89%,,
Travel,Big,Twitter,Expedia,"453,501",-267.0006,0,0,0 /post,0%,0%,,
Travel,Big,YouTube,Expedia,"1,160,000",0 0%,290,2,145 /post,0.01%,0.03%,,404.83K
Travel,Big,Facebook,Hilton,"703,771","2,654 0.38%",1376,7,196.6 /post,0.03%,0.20%,"10,952",
Travel,Big,Instagram,Hilton,"230,387","4,810 2.13%",194927,13,15.0K /post,6.51%,84.61%,"330,974",
Travel,Big,TikTok,Hilton,"381,854","9,798 2.63%",186409,15,12.4K /post,3.25%,48.82%,,
Travel,Big,Twitter,Hilton,"26,140",206 0.79%,2260,9,251.1 /post,0.96%,8.65%,,
Travel,Big,YouTube,Hilton,"950,000","-6,000 -0.63%",7263,43,168.9 /post,0.02%,0.77%,,2.74M
Travel,Big,Facebook,Tripadvisor,"7,651,847","1,501 0.02%",17671,106,166.7 /post,0.00%,0.23%,"65,461",
Travel,Big,Instagram,Tripadvisor,"2,983,963","8,058 0.27%",37700,42,897.6 /post,0.03%,1.26%,"1,808,837",
Travel,Big,TikTok,Tripadvisor,"7,615",455 6.35%,2113,30,70.4 /post,0.93%,27.75%,,
Travel,Big,Twitter,Tripadvisor,"3,378,505","-2,218 -0.07%",1976,93,21.2 /post,0.00%,0.06%,,
Travel,Big,YouTube,Tripadvisor,"24,800",500 2.06%,0,0,0 /post,0%,0%,,0
Travel,Small,Facebook,Allegiant Air,"345,299",146 0.04%,13758,14,982.7 /post,0.29%,3.98%,"69,791",
Travel,Small,Instagram,Allegiant Air,"86,527","2,735 3.26%",26771,23,1164 /post,1.35%,30.94%,"239,436",
Travel,Small,Twitter,Allegiant Air,"68,313",0 0%,343,14,24.5 /post,0.04%,0.50%,,
Travel,Small,YouTube,Allegiant Air,"3,900",0 0%,0,0,0 /post,0%,,,
Travel,Small,Facebook,Hostelworld,"2,121,688",0 0%,211,5,42.2 /post,0.00%,0.01%,0,
Travel,Small,Instagram,Hostelworld,"314,469",0 0%,94934,11,8630 /post,2.74%,30.19%,"311,103",
Travel,Small,TikTok,Hostelworld,"57,124",104 0.18%,9625,8,1203 /post,2.11%,16.85%,,
Travel,Small,Twitter,Hostelworld,"54,807",0 0%,0,0,0 /post,0%,0%,,
Travel,Small,YouTube,Hostelworld,"33,300",0 0%,0,0,0 /post,0%,0%,,0
Travel,Small,Instagram,Palisociety,"52,761",0 0%,4380,18,243.3 /post,0.46%,8.30%,"52,449",
Travel,Small,TikTok,Palisociety,467,0 0%,258,7,36.9 /post,7.89%,55.25%,,
Travel,Small,Twitter,Palisociety,64,0 0%,0,0,0 /post,0%,,,
Travel,Small,Facebook,Trivago,"9,509,568","-3,223 -0.03%",1361,15,90.7 /post,0.00%,0.01%,"5,078",
